"REGISTRATIONNUMBER","INST_COLL_SUBCOLL","TRANSFERREASON","PRESERVEDPART","ICOONURL","URL","FULLSCIENTIFICNAME","GENUS","EPITHET"
"RGM.134892","Macro Vertebrates","","humerus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.134896","Macro Vertebrates","","tibia","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.134996","Macro Vertebrates","","scapula","","","Talpa europaea L.","Talpa","europaea"
"RGM.137655","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.137664","Macro Vertebrates","","premolar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.137683","Macro Vertebrates","","mandibula","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.137687","Macro Vertebrates","","metacarpus V","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.137694","Macro Vertebrates","","cranium","","","Ursus arctos L.","Ursus","arctos"
"RGM.137707","Macro Vertebrates","Exhibition ""Oerparade"" 0125.01.00","cranium","","","Bos primigenius Bojanus, 1827","Bos","primigenius"
"RGM.137799","Macro Vertebrates","","phalange I","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.137890","Macro Vertebrates","","metatarsus","http://medialib.naturalis.nl/file/id/RGM.137890/format/small","http://medialib.naturalis.nl/file/id/RGM.137890/format/large","Equus hydruntinis","Equus","hydruntinis"
"RGM.137902","Macro Vertebrates","","humerus","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.137914","Macro Vertebrates","","molar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.137944","Macro Vertebrates","","phalange I","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.138245","Macro Vertebrates","","tibia","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.138311","Macro Vertebrates","","femur","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.138410","Macro Vertebrates","","mandibula","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.138444","Macro Vertebrates","","phalange II","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.138647","Macro Vertebrates","","ulna","","","Crocuta crocuta spelaea (Goldfuss, 1823)","Crocuta","crocuta"
"RGM.138650","Macro Vertebrates","","phalange II","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.138668","Macro Vertebrates","","molar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.138841","Macro Vertebrates","","radius","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.138883","Macro Vertebrates","","molar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.138953","Macro Vertebrates","","ulna","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
